group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6
2,1,12000058,12.2743682310469,17.9950013885032,15.9955567897806,18.0227714523743,20.1055262427104,15.6067758955846,0.0454732510288066,0.0507836990595611,0.0466019417475728,0.0567307692307692,0.0490514905149051,0.0462171052631579,243,319,309,286,369,304
2,2,12000070,15.9122465981672,15.1069147459039,18.3837822826993,13.996112191058,19.1613440710914,17.4396001110803,0.0405807365439093,0.0361702127659574,0.041375,0.0380664652567975,0.0402097902097902,0.0401534526854219,353,376,400,331,429,391
2,3,12000104,15.4956956401,13.7739516800889,18.328242154957,15.9955567897806,20.3276867536795,16.0788669813941,0.0564777327935222,0.047148288973384,0.056701030927835,0.0517985611510791,0.0564814814814815,0.0528284671532846,247,263,291,278,324,274
2,4,12000126,14.7181338517079,20.6886975840044,13.7461816162177,19.1891141349625,16.9952790891419,14.6625937239656,0.0474910394265233,0.0569571865443425,0.0491071428571428,0.0610424028268551,0.0511705685618729,0.0525896414342629,279,327,252,283,299,251
2,5,12000182,13.412940849764,19.1891141349625,14.9958344904193,18.9669536239933,20.2443765620661,13.1907803387948,0.043125,0.0460666666666666,0.0432692307692307,0.0515861027190332,0.0479605263157895,0.0394518272425249,280,375,312,331,380,301
2,6,12000216,13.7184115523466,19.0224937517356,15.7178561510691,16.4121077478478,18.7447931130242,16.3843376839767,0.0442652329749104,0.0496376811594203,0.0462418300653595,0.0470541401273885,0.0444078947368421,0.0490033222591362,279,345,306,314,380,301
2,7,12000238,14.6070535962233,15.8289364065537,18.8836434323799,15.3846153846154,19.6056650930297,15.6623160233269,0.0534552845528455,0.0473421926910299,0.0562913907284768,0.0498201438848921,0.0558544303797468,0.0507194244604316,246,301,302,278,316,278
2,8,12000294,15.8567064704249,18.328242154957,16.1344071091364,15.9122465981672,16.9397389613996,16.828658705915,0.0544847328244275,0.0608856088560885,0.0569607843137255,0.054467680608365,0.0488782051282051,0.0493485342019544,262,271,255,263,312,307
2,9,12000339,17.7173007497917,14.551513468481,17.2452096639822,16.828658705915,17.2174396001111,16.439877811719,0.0448033707865168,0.0406832298136646,0.0419594594594594,0.0441690962099125,0.0435393258426966,0.0396782841823056,356,322,370,343,356,373
2,10,12000362,15.3290752568731,15.7178561510691,18.3004720910858,18.2171618994724,18.9391835601222,13.4962510413774,0.046,0.0444968553459119,0.0528044871794872,0.0532467532467532,0.0484375,0.0411864406779661,300,318,312,308,352,295
2,11,12000373,11.8578172729797,17.8839211330186,16.7731185781727,18.2171618994724,21.2440988614274,14.0238822549292,0.0427,0.0489361702127659,0.0474842767295597,0.052063492063492,0.0540254237288136,0.0457427536231884,250,329,318,315,354,276
2,12,12000384,16.1621771730075,16.4676478755901,16.1066370452652,17.1618994723688,18.4115523465704,15.690086087198,0.0538888888888889,0.0500844594594594,0.05,0.0521959459459459,0.0543442622950819,0.0529026217228464,270,296,290,296,305,267
2,13,12000463,18.8281033046376,12.1632879755623,17.3562899194668,18.4948625381838,18.522632602055,14.6348236600944,0.0497067448680352,0.0371186440677966,0.0421159029649595,0.0423664122137404,0.0476428571428571,0.0401676829268292,341,295,371,393,350,328
2,14,12000485,15.3290752568731,18.7725631768953,15.1902249375174,19.5223549014163,17.4951402388226,13.6906414884754,0.0390934844192634,0.0436692506459948,0.039868804664723,0.0456493506493506,0.0432692307692307,0.0417796610169491,353,387,343,385,364,295
2,15,12000519,15.9955567897806,16.3287975562344,17.1618994723688,17.1618994723688,18.3837822826993,14.9680644265482,0.0433734939759036,0.0421203438395415,0.0430362116991643,0.0468181818181818,0.0438992042440318,0.0409574468085106,332,349,359,330,377,329
2,16,12000520,17.2729797278534,18.6892529852819,14.6070535962233,18.2727020272147,15.8011663426826,15.3568453207442,0.0427197802197802,0.0415432098765432,0.0384502923976608,0.0423969072164948,0.0390796703296703,0.0391643059490085,364,405,342,388,364,353
2,17,12000542,16.9952790891419,20.0499861149681,16.1899472368786,16.6064981949458,13.7739516800889,16.3843376839767,0.0415760869565217,0.046520618556701,0.0380548302872062,0.0395502645502645,0.0362573099415204,0.0387139107611548,368,388,383,378,342,381
2,18,12000575,13.5240211052485,17.5229103026937,19.3001943904471,16.7453485143016,15.8289364065537,17.0785892807553,0.0414115646258503,0.0459912536443148,0.0499281609195402,0.0439504373177842,0.0437116564417178,0.0438034188034188,294,343,348,343,326,351
2,19,12000586,14.3293529575118,15.884476534296,19.2168841988337,16.5787281310747,18.6614829214107,15.3290752568731,0.0542016806722689,0.050530035335689,0.0592465753424657,0.0611680327868852,0.0531645569620253,0.0577405857740586,238,283,292,244,316,239
2,20,12000597,16.1621771730075,15.3013051930019,17.2174396001111,16.5231880033324,20.7164676478756,14.0794223826715,0.0478618421052631,0.0405147058823529,0.0457227138643067,0.0494186046511627,0.0467418546365915,0.0411525974025974,304,340,339,301,399,308
2,21,12000610,15.2735351291308,15.9400166620383,17.6895306859206,18.0783115801166,18.6059427936684,14.4126631491252,0.0388418079096045,0.0398611111111111,0.0375589622641509,0.0391225961538461,0.0446666666666666,0.0378279883381924,354,360,424,416,375,343
2,22,12000621,17.1063593446265,17.3562899194668,16.3010274923632,17.6895306859206,16.9675090252708,14.5792835323521,0.0465256797583081,0.0429258241758241,0.0419285714285714,0.043392370572207,0.0436428571428571,0.0436046511627907,331,364,350,367,350,301
2,23,12000643,15.7733962788114,15.5234657039711,18.9947236878645,15.3290752568731,18.911413496251,15.4679255762288,0.045367412140575,0.0402737752161383,0.0438461538461538,0.0409495548961424,0.0455213903743315,0.0396723646723646,313,347,390,337,374,351
2,24,12000676,14.8292141071924,17.3562899194668,17.8839211330186,16.828658705915,17.0230491530131,16.0788669813941,0.0454081632653061,0.0416666666666666,0.0442307692307692,0.047196261682243,0.040542328042328,0.0405462184873949,294,375,364,321,378,357
2,25,12000698,14.8014440433213,17.3562899194668,17.578450430436,17.5229103026937,17.9116911968898,14.8292141071924,0.0493518518518518,0.0467814371257485,0.0499211356466877,0.0463970588235294,0.0441780821917808,0.0432038834951456,270,334,317,340,365,309
2,26,12000700,15.4401555123577,16.6898083865593,17.0230491530131,16.9119688975285,19.9111357956123,14.0238822549292,0.044551282051282,0.0445845697329377,0.0502459016393442,0.0557692307692307,0.051657060518732,0.0444542253521126,312,337,305,273,347,284
2,27,12000722,17.5506803665648,20.2443765620661,13.9405720633157,17.8006109414052,15.9955567897806,14.4682032768675,0.0420212765957446,0.0499315068493151,0.0386153846153846,0.0415155440414507,0.0435045317220543,0.0392319277108433,376,365,325,386,331,332
2,28,12000733,15.1069147459039,16.4954179394613,17.6062204943071,16.3843376839767,17.2174396001111,17.1896695362399,0.047719298245614,0.0430434782608695,0.0456772334293948,0.0437685459940652,0.0453216374269005,0.0460565476190476,285,345,347,337,342,336
2,29,12000766,14.9680644265482,18.1616217717301,15.9122465981672,18.9391835601222,18.3004720910858,13.7184115523466,0.048125,0.0503076923076923,0.0487244897959183,0.0515105740181269,0.0453856749311295,0.0464285714285714,280,325,294,331,363,266
2,30,12000788,13.6628714246043,15.8011663426826,17.6062204943071,16.3843376839767,20.1610663704527,16.3843376839767,0.038801261829653,0.038972602739726,0.0417105263157894,0.0423850574712643,0.0445945945945946,0.0398648648648648,317,365,380,348,407,370
2,31,12000867,13.6628714246043,13.7461816162177,19.6889752846432,16.439877811719,20.6886975840044,15.7733962788114,0.040327868852459,0.0391613924050633,0.0472666666666667,0.0455384615384615,0.0477564102564102,0.0426426426426426,305,316,375,325,390,333
2,32,12000889,14.7181338517079,16.8008886420439,18.1060816439878,17.0785892807553,16.4954179394613,16.8008886420439,0.0434426229508196,0.0456948640483383,0.0454038997214484,0.0441810344827586,0.0451367781155015,0.0443548387096774,305,331,359,348,329,341
2,33,12001004,14.8569841710636,18.3837822826993,17.6617606220494,16.9675090252708,15.1624548736462,16.9675090252708,0.0376760563380281,0.0418987341772152,0.0406649616368286,0.0392673521850899,0.0369918699186991,0.0401973684210526,355,395,391,389,369,380
2,34,12001015,16.7453485143016,17.8561510691475,16.7175784504304,16.8841988336573,16.3565676201055,15.4401555123577,0.047109375,0.0507097791798107,0.04703125,0.0470588235294117,0.0507758620689655,0.0446945337620578,320,317,320,323,290,311
2,35,12001037,14.5237434046098,17.7173007497917,16.7175784504304,18.2727020272147,16.4121077478478,16.3565676201055,0.0457167832167832,0.0528145695364238,0.0491830065359477,0.0581272084805654,0.0460280373831775,0.0482786885245901,286,302,306,283,321,305
2,36,12001048,17.6062204943071,17.3285198555957,17.4673701749514,16.4676478755901,16.439877811719,14.6625937239656,0.0467551622418879,0.0456140350877192,0.0448005698005698,0.0424785100286533,0.0414565826330532,0.0444444444444444,339,342,351,349,357,297
