group,subject,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5
1,1,15.6,23.4,24.4,16.6,20,0.0361111111111111,0.0400684931506849,0.0342696629213483,0.034016393442623,0.036231884057971,54,73,89,61,69
1,2,18,19.2,22.6,21.8,18.4,0.03515625,0.0324324324324324,0.0415441176470588,0.0378472222222222,0.0333333333333333,64,74,68,72,69
1,3,18.8,23,23.2,17.4,17.6,0.0427272727272727,0.0471311475409836,0.0371794871794872,0.035655737704918,0.0338461538461539,55,61,78,61,65
1,4,17.2,22,16.4,20.2,24.2,0.0352459016393443,0.0509259259259259,0.0330645161290323,0.0435344827586207,0.0382911392405063,61,54,62,58,79
1,5,15.4,23.6,25.2,15.2,20.6,0.0310483870967742,0.0433823529411765,0.0379518072289157,0.0358490566037736,0.0367857142857143,62,68,83,53,70
1,6,16.6,19.2,23.8,21.2,19.2,0.0314393939393939,0.0347826086956522,0.0371875,0.0327160493827161,0.0338028169014085,66,69,80,81,71
1,7,15.6,19.2,22.6,20.4,22.2,0.03046875,0.0358208955223881,0.0415441176470588,0.0386363636363636,0.0414179104477612,64,67,68,66,67
1,8,19.8,22.2,20.2,21,16.8,0.0325657894736842,0.044758064516129,0.0407258064516129,0.0340909090909091,0.04375,76,62,62,77,48
1,9,22,18.4,20.4,21.4,17.8,0.0366666666666667,0.0353846153846154,0.0349315068493151,0.0361486486486487,0.0342307692307692,75,65,73,74,65
1,10,16.6,22.8,25.4,17.2,18,0.0351694915254237,0.0401408450704226,0.0412337662337662,0.0358333333333333,0.0368852459016394,59,71,77,60,61
1,11,15,24.4,23,16.6,21,0.0307377049180328,0.0376543209876543,0.0342261904761905,0.0314393939393939,0.0336538461538462,61,81,84,66,78
1,12,18.4,21.6,23,18.6,18.4,0.0333333333333333,0.0385714285714286,0.0404929577464789,0.0327464788732394,0.0343283582089552,69,70,71,71,67
1,13,19.8,21.6,20.4,19.4,18.8,0.034375,0.0380281690140845,0.0359154929577465,0.0367424242424243,0.0335714285714286,72,71,71,66,70
1,14,17,24.4,19,19,20.6,0.0307971014492754,0.0367469879518072,0.0354477611940299,0.0349264705882353,0.0373188405797102,69,83,67,68,69
1,15,20.6,22,20.4,15.8,21.2,0.0390151515151515,0.0387323943661972,0.0326923076923077,0.0346491228070175,0.042741935483871,66,71,78,57,62
1,16,20.4,18,18.4,20.8,22.4,0.0364285714285714,0.0335820895522388,0.0359375,0.0337662337662338,0.0383561643835617,70,67,64,77,73
1,17,17.2,23.6,17.4,20.4,21.4,0.0364406779661017,0.0355421686746988,0.0334615384615385,0.0375,0.0376760563380282,59,83,65,68,71
1,18,15.8,22.2,20.2,20.4,21.4,0.0346491228070175,0.0346875,0.0388461538461538,0.0349315068493151,0.0399253731343284,57,80,65,73,67
1,19,17.6,24.4,21.4,19.4,17.2,0.0392857142857143,0.0491935483870968,0.040530303030303,0.0351449275362319,0.0330769230769231,56,62,66,69,65
1,20,19.2,21,25,16.8,18,0.0452830188679245,0.041015625,0.0411184210526316,0.0318181818181818,0.0362903225806452,53,64,76,66,62
1,21,17,22.4,22.2,17.6,20.8,0.0348360655737705,0.0354430379746836,0.0375,0.0333333333333333,0.0366197183098592,61,79,74,66,71
1,22,18.8,22.2,22.6,16.6,19.8,0.0340579710144928,0.0322674418604651,0.0366883116883117,0.0319230769230769,0.0348591549295775,69,86,77,65,71
1,23,17.6,20.8,21.6,20.8,19.2,0.0354838709677419,0.0356164383561644,0.0385714285714286,0.0371428571428572,0.0338028169014085,62,73,70,70,71
1,24,17.4,20.6,18.6,23.4,20,0.036864406779661,0.0347972972972973,0.0352272727272727,0.0375,0.0337837837837838,59,74,66,78,74
1,25,18.2,24,18.6,19.4,19.8,0.0361111111111111,0.037037037037037,0.0318493150684932,0.0346428571428572,0.034375,63,81,73,70,72
