group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5
2,1,12000058,15.3846153846154,23.9933351846709,19.466814773674,21.1885587336851,19.9389058594835,0.0301086956521739,0.0358208955223881,0.0328799249530956,0.0363333333333333,0.0328153564899451,460,603,533,525,547
2,2,12000070,17.1063593446265,21.4940294362677,18.5781727297973,21.3829491807831,21.4107192446543,0.0322175732217573,0.0335355285961872,0.0323500967117988,0.0338312829525483,0.0332901554404145,478,577,517,569,579
2,3,12000104,16.4121077478478,21.9661205220772,19.0224937517356,21.5773396278811,21.0219383504582,0.0329799107142857,0.0383236434108527,0.0335127201565557,0.0370706106870229,0.0359108159392789,448,516,511,524,527
2,4,12000126,16.9119688975285,20.0222160510969,22.3271313524021,21.6051096917523,19.1335740072202,0.031985294117647,0.0351364522417154,0.0350174216027875,0.0368371212121212,0.0320763500931098,476,513,574,528,537
2,5,12000182,16.7175784504304,22.7159122465982,20.8553179672313,20.6886975840044,19.0224937517356,0.0315513626834381,0.0388783269961977,0.0338288288288288,0.0341743119266055,0.0326812977099236,477,526,555,545,524
2,6,12000216,16.5231880033324,23.3546237156345,19.1335740072202,20.0777561788392,20.9108580949736,0.0324074074074074,0.0361254295532646,0.0345190380761523,0.0348938223938224,0.0350558659217877,459,582,499,518,537
2,7,12000238,15.5512357678423,24.9652874201611,18.9669536239933,20.1888364343238,20.3276867536795,0.032183908045977,0.0398492907801419,0.0325238095238095,0.0347514340344168,0.0335164835164835,435,564,525,523,546
2,8,12000294,17.2729797278534,23.1880033324077,17.967231324632,19.5223549014163,22.0494307136906,0.0354214123006833,0.0381627056672761,0.0318405511811023,0.0354334677419355,0.0331939799331104,439,547,508,496,598
2,9,12000339,19.0502638156068,20.7164676478756,18.8558733685087,22.4382116078867,18.911413496251,0.0342315369261477,0.0355238095238095,0.0350723140495867,0.0363963963963964,0.0335798816568047,501,525,484,555,507
2,10,12000362,16.7731185781727,22.299361288531,19.9944459872258,22.6326020549847,18.3004720910858,0.0338565022421524,0.0359767025089606,0.0338345864661654,0.036319073083779,0.0332828282828282,446,558,532,561,495
2,11,12000373,15.5790058317134,25.0208275479034,19.4390447098028,21.5217995001389,18.4393224104415,0.0321674311926605,0.0401515151515152,0.0343137254901961,0.0374758220502901,0.0340862422997946,436,561,510,517,487
2,12,12000384,16.9675090252708,23.3546237156345,17.8561510691475,21.2440988614274,20.5498472646487,0.0327087794432548,0.0382969034608379,0.0325404858299595,0.0352859778597786,0.0342592592592592,467,549,494,542,540
2,13,12000463,18.3004720910858,21.9661205220772,18.1893918356012,23.1324632046654,18.4115523465704,0.033829568788501,0.0374526515151515,0.0316731141199226,0.0353565365025467,0.0322470817120622,487,528,517,589,514
2,14,12000485,18.5504026659261,20.4943071369064,19.661205220772,22.7436823104693,18.5504026659261,0.0316287878787878,0.034040590405904,0.0329608938547486,0.0375688073394496,0.0321772639691714,528,542,537,545,519
2,15,12000519,18.0783115801166,22.1882810330464,18.9947236878645,21.9383504582061,18.8003332407665,0.033765560165975,0.0347391304347826,0.0341317365269461,0.0362385321100917,0.0322996183206106,482,575,501,545,524
2,16,12000520,19.4945848375451,19.7722854762566,18.9947236878645,22.1327409053041,19.6056650930297,0.0340116279069767,0.0341650671785028,0.0326959847036329,0.0354537366548043,0.0335551330798479,516,521,523,562,526
2,17,12000542,20.1610663704527,20.799777839489,17.5229103026937,21.3274090530408,20.1888364343238,0.0378914405010438,0.0354640151515151,0.033140756302521,0.0352293577981651,0.0336574074074074,479,528,476,545,540
2,18,12000575,14.7181338517079,20.0499861149681,21.9938905859483,21.1607886698139,22.0772007775618,0.0309579439252336,0.0334879406307977,0.0332773109243698,0.0337765957446809,0.033125,428,539,595,564,600
2,19,12000586,16.0788669813941,22.7436823104693,20.2166064981949,20.4665370730353,20.4943071369064,0.0330479452054794,0.0372272727272727,0.0338919925512104,0.035986328125,0.0342300556586271,438,550,537,512,539
2,20,12000597,16.8564287697862,25.520688697584,17.3562899194668,21.7717300749792,18.4948625381838,0.0337973273942093,0.0402364273204904,0.0311254980079681,0.0375478927203065,0.0327755905511811,449,571,502,522,508
2,21,12000610,17.772840877534,22.9936128853096,18.6892529852819,21.8550402665926,18.6892529852819,0.0330578512396694,0.0357512953367876,0.031625939849624,0.0336900684931507,0.0323557692307692,484,579,532,584,520
2,22,12000621,17.8006109414052,20.7442377117467,19.7445154123855,22.3549014162733,19.3279644543182,0.0352197802197802,0.0369071146245059,0.0348529411764706,0.0369266055045871,0.0345924453280318,455,506,510,545,503
2,23,12000643,18.3837822826993,22.4382116078867,19.2168841988337,20.2166064981949,19.7445154123855,0.032261208576998,0.0362657091561939,0.0321561338289963,0.0337037037037037,0.0319120287253142,513,557,538,540,557
2,24,12000676,16.0788669813941,21.4662593723966,20.6886975840044,20.7720077756179,20.9941682865871,0.0321666666666666,0.0363251879699248,0.0313025210084033,0.0341240875912409,0.0321428571428571,450,532,595,548,588
2,25,12000698,16.5787281310747,22.8547625659539,18.6614829214107,21.8550402665926,20.0499861149681,0.0337669683257918,0.0355354058721934,0.0330058939096267,0.0354504504504504,0.0331801470588235,442,579,509,555,544
2,26,12000700,17.2174396001111,23.7989447375729,18.1338517078589,22.1049708414329,18.717023049153,0.033049040511727,0.0377865961199295,0.0318226120857699,0.0353463587921847,0.0319734345351043,469,567,513,563,527
2,27,12000722,19.0780338794779,22.299361288531,17.0508192168842,22.0216606498195,19.5501249652874,0.0360062893081761,0.0371072088724584,0.0333695652173913,0.036712962962963,0.0341085271317829,477,541,460,540,516
2,28,12000733,18.3004720910858,19.466814773674,20.1055262427104,21.0497084143294,21.0774784782005,0.0342515592515592,0.03505,0.0324955116696589,0.0354868913857678,0.0351388888888889,481,500,557,534,540
2,29,12000766,16.634268258817,23.632324354346,17.7450708136629,23.24354346015,18.717023049153,0.0321351931330472,0.0370644599303136,0.0325356415478614,0.0354060913705584,0.03227969348659,466,574,491,591,522
2,30,12000788,16.4954179394613,25.5762288253263,15.0236045542905,21.8272702027215,21.0774784782005,0.0329268292682926,0.039698275862069,0.0308086560364464,0.0365921787709497,0.0338235294117647,451,580,439,537,561
