group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Duration_1,Duration_2,Duration_3,Occurrence_1,Occurrence_2,Occurrence_3
1,1,0004,34.0460983060261,34.9069702860317,31.0469314079422,0.0586042065009559,0.0609011627906976,0.0509107468123861,523,516,549
1,2,0005,38.378228269925,33.9350180505415,27.6867536795335,0.0787015945330294,0.0618421052631578,0.0551438053097345,439,494,452
1,3,0006,35.1013607331297,32.7131352402111,32.1855040266593,0.0544827586206895,0.0487582781456952,0.050216637781629,580,604,577
1,4,0007,33.9350180505415,33.8794779227992,32.1855040266593,0.0691176470588235,0.0601577909270216,0.0569253438113948,442,507,509
1,5,0008,34.7958900305471,34.018328242155,31.185781727298,0.064454732510288,0.0600490196078431,0.0538867562380037,486,510,521
1,6,0009,36.2399333518467,34.8792002221605,28.8808664259928,0.0651197604790418,0.0612085769980505,0.0557939914163089,501,513,466
1,7,0010,35.1291307970008,33.7683976673146,31.1024715356845,0.074063231850117,0.0655172413793103,0.0587002096436057,427,464,477
1,8,0011,34.601499583449,33.65731741183,31.7411830047209,0.0613188976377952,0.0597633136094673,0.0584355828220858,508,507,489
1,9,0012,35.35129130797,32.9352957511802,31.7134129408498,0.0619163424124513,0.0632196162046908,0.0582653061224488,514,469,490
1,10,0013,33.7683976673146,35.0735906692585,31.1580116634268,0.0669603524229074,0.0660564853556484,0.0563253012048193,454,478,498
2,1,0004,33.5740072202166,35.4623715634546,30.9636212163288,0.0573529411764705,0.0613942307692307,0.0509597806215721,527,520,547
2,2,0005,38.4615384615385,34.1294084976395,27.409053040822,0.0785147392290248,0.062704081632653,0.0544701986754966,441,490,453
2,3,0006,35.1291307970008,33.0186059427937,31.8522632602055,0.0540598290598289,0.0488095238095236,0.0500436300174519,585,609,573
2,4,0007,33.7961677311858,34.1849486253818,32.0188836434324,0.0689909297052154,0.0603431372549019,0.0569664031620552,441,510,506
2,5,0008,34.601499583449,34.3515690086087,31.0469314079422,0.0637014314928425,0.0602826510721247,0.0536468330134356,489,513,521
2,6,0009,36.1843932241044,34.9347403499028,28.8808664259928,0.0652805611222444,0.0615459882583168,0.0556745182012847,499,511,467
2,7,0010,35.0735906692585,33.9627881144127,30.9636212163288,0.073259860788863,0.0660367170626349,0.0585609243697478,431,463,476
2,8,0011,34.4626492640933,33.7128575395723,31.8244931963344,0.0605957031249999,0.0590466926070038,0.0585889570552146,512,514,489
2,9,0012,35.4068314357123,33.1019161344071,31.4912524298806,0.0618932038834951,0.0631355932203389,0.0582135523613961,515,472,487
2,10,0013,33.6017772840878,35.3235212440989,31.0747014718134,0.0669247787610618,0.0663883089770354,0.056062124248497,452,479,499
2,11,0014,37.1285753957234,34.9902804776451,27.8811441266315,0.0726630434782608,0.0665961945031711,0.0540948275862068,460,473,464
2,12,0015,35.3235212440989,35.0458206053874,29.6306581505137,0.0558875219683653,0.0562388591800355,0.0480630630630629,569,561,555
2,13,0016,35.6289919466815,35.4623715634546,28.9086364898639,0.0636408730158729,0.063469184890656,0.0509295499021526,504,503,511
2,14,0017,36.5731741183005,34.9902804776451,28.4365454040544,0.0711123110151187,0.0627490039840637,0.0544680851063829,463,502,470
2,15,0018,40.0999722299361,34.7403499028048,25.1596778672591,0.0880487804878047,0.0741113744075829,0.0492391304347825,410,422,460
2,16,0019,34.601499583449,33.6295473479589,31.7689530685921,0.0608398437499999,0.0562732342007434,0.0570858283433133,512,538,501
2,17,0020,36.0455429047487,35.0735906692585,28.8808664259928,0.0606542056074765,0.0637878787878787,0.0506822612085769,535,495,513
2,18,0021,36.8508747570119,34.5459594557068,28.6031657872813,0.0663499999999999,0.0663113006396587,0.0517068273092368,500,469,498
2,19,0022,33.8517078589281,34.7681199666759,31.380172174396,0.0672737306843266,0.0616141732283463,0.0580082135523613,453,508,487
2,20,0023,34.2682588169953,35.6845320744238,30.047209108581,0.0693258426966292,0.0672071129707111,0.0597130242825606,445,478,453
2,21,0024,33.9627881144127,36.101083032491,29.9361288530964,0.0553894927536231,0.0617870722433458,0.0494495412844036,552,526,545
3,1,0101,35.4068314357123,33.5740072202166,31.0191613440711,0.0568181818181816,0.0527486910994763,0.0503153153153153,561,573,555
3,2,0102,34.9902804776451,36.9064148847542,28.1033046376007,0.0649484536082474,0.0703919491525423,0.0537154989384288,485,472,471
3,3,0103,33.1019161344071,35.5734518189392,31.3246320466537,0.0528368794326241,0.0574955116696587,0.0532075471698113,564,557,530
3,4,0104,34.5181893918356,33.2129963898917,32.2688142182727,0.055392156862745,0.0510238907849827,0.0503466204506065,561,586,577
3,5,0105,35.9344626492641,32.6020549847265,31.4634823660094,0.0583935018050541,0.0530741410488245,0.0507616487455195,554,553,558
3,6,0106,34.9902804776451,33.8794779227992,31.1302415995557,0.0597722960151801,0.0557586837294331,0.0541023166023165,527,547,518
3,7,0107,36.7953346292696,34.3515690086087,28.8530963621216,0.0798192771084337,0.0727647058823528,0.0594393592677345,415,425,437
3,8,0108,36.8786448208831,32.4909747292419,30.630380449875,0.0573402417962002,0.0513157894736841,0.0468166383701187,579,570,589
3,9,0109,34.4348792002222,33.5462371563455,32.0188836434324,0.0613861386138613,0.0571969696969696,0.0588265306122448,505,528,490
3,10,0110,35.156900860872,33.5462371563455,31.2968619827826,0.0611003861003859,0.0593320235756384,0.0539750957854404,518,509,522
3,11,0111,35.0180505415162,34.3793390724799,30.6026103860039,0.0573181818181816,0.054298245614035,0.0468537414965986,550,570,588
3,12,0112,33.8794779227992,34.5737295195779,31.5467925576229,0.0587668593448939,0.0659427966101694,0.0566866267465068,519,472,501
3,13,0113,34.6570397111913,33.462926964732,31.8800333240766,0.0626506024096384,0.060129740518962,0.0570576540755466,498,501,503
3,14,0115,33.5184670924743,35.7400722021661,30.7414607053596,0.070174418604651,0.0656632653061224,0.0585095137420718,430,490,473
3,15,0116,34.5737295195779,34.0460983060261,31.380172174396,0.0618787276341946,0.0587164750957853,0.053201506591337,503,522,531
3,16,0117,35.0458206053874,33.268536517634,31.6856428769786,0.0595283018867924,0.0622661122661121,0.0593035343035343,530,481,481
3,17,0118,33.9072479866704,35.2402110524854,30.8525409608442,0.0571629213483145,0.0572653429602887,0.0569159836065573,534,554,488
3,18,0119,34.6570397111913,33.3796167731186,31.9633435156901,0.0644628099173552,0.0617043121149896,0.0609639830508474,484,487,472
3,19,0120,33.7128575395723,36.2121632879756,30.0749791724521,0.0671460176991149,0.0677754677754676,0.0571202531645569,452,481,474
3,20,0121,35.9900027770064,34.601499583449,29.4084976395446,0.0593406593406592,0.0594465648854961,0.0493936567164178,546,524,536
3,21,0122,35.4068314357123,34.8514301582894,29.7417384059983,0.0615347490347489,0.0594223484848483,0.0531249999999999,518,528,504
