group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Duration_1,Duration_2,Duration_3,Duration_4,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4
2,1,00010002,23.4069137859225,26.0724698042482,25.6559766763848,24.8646397334444,0.0528195488721806,0.0530508474576273,0.0495176848874599,0.0483009708737866,266,295,311,309
2,2,00010003,25.8225739275302,25.6559766763848,26.0308204914619,22.4906289046231,0.0711009174311927,0.0700000000000001,0.0612745098039217,0.0579399141630903,218,220,255,233
2,3,00010004,25.4893794252395,29.4460641399417,24.323198667222,20.7413577675968,0.0676991150442479,0.0727366255144033,0.0528985507246378,0.058177570093458,226,243,276,214
2,4,00010005,26.4056643065389,23.6984589754269,28.1965847563515,21.6992919616826,0.0636546184738957,0.0542938931297711,0.0589721254355401,0.0554255319148937,249,262,287,235
2,5,00010006,25.4477301124531,25.9891711786756,26.9887546855477,21.5743440233236,0.0543594306049824,0.0545454545454547,0.0540000000000001,0.0483208955223882,281,286,300,268
2,6,00010007,28.2798833819242,22.9487713452728,22.2823823406914,26.4889629321116,0.0725427350427351,0.0573958333333334,0.0469298245614036,0.0552083333333335,234,240,285,288
2,7,00010010,27.8633902540608,26.6972094960433,22.240733027905,23.1986672219908,0.0693983402489628,0.0648785425101216,0.0509541984732826,0.0539728682170544,241,247,262,258
2,8,00010012,24.073302790504,25.2394835485214,27.030403998334,23.6568096626406,0.0564453125000001,0.065021459227468,0.0590000000000001,0.055686274509804,256,233,275,255
2,9,00010016,24.1149521032903,24.8646397334444,25.7809246147439,25.2394835485214,0.0497422680412373,0.0504222972972974,0.0494408945686903,0.0490291262135924,291,296,313,309
2,10,00010017,28.1965847563515,25.4060807996668,22.7821740941274,23.6151603498542,0.0668972332015811,0.0579847908745249,0.0458892617449666,0.0525000000000001,253,263,298,270
2,11,00010019,26.8221574344023,26.8221574344023,24.5314452311537,21.8242399000417,0.0560975609756098,0.0570921985815604,0.0479641693811077,0.0485185185185186,287,282,307,270
2,12,00010020,26.0724698042482,26.4889629321116,23.3236151603499,24.1149521032903,0.0588345864661656,0.0654320987654322,0.0512820512820514,0.0565429687500001,266,243,273,256
2,13,00010021,24.7396917950854,29.4460641399417,23.9483548521449,21.865889212828,0.0577821011673153,0.0707000000000001,0.0542452830188681,0.0560897435897438,257,250,265,234
2,14,00010022,24.6563931695127,22.5739275301958,26.6139108704706,26.1557684298209,0.0521126760563382,0.0509398496240603,0.0505537974683546,0.0579335793357935,284,266,316,271
2,15,00010023,22.6155768429821,28.6547271970013,26.0308204914619,22.6988754685548,0.0554081632653062,0.067450980392157,0.0568181818181819,0.057247899159664,245,255,275,238
