group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6
1,1,0004,16.5509580672036,14.1071924465426,14.4126631491252,15.7178561510691,18.0783115801166,21.1330186059428,0.0383033419023138,0.0370262390670556,0.0391993957703929,0.0440809968847354,0.0404850746268659,0.0474438902743142,389,343,331,321,402,401
1,2,0005,19.3835045820605,12.7742293807276,17.3285198555957,18.328242154957,14.0238822549292,18.1616217717301,0.0524024024024026,0.0427509293680299,0.0454810495626824,0.0489614243323443,0.0446113074204949,0.0450413223140498,333,269,343,337,283,363
1,3,0006,19.0224937517356,12.663149125243,15.690086087198,16.6898083865593,16.5787281310747,19.3557345181894,0.0406769596199526,0.0364217252396168,0.0404727793696277,0.0432997118155622,0.0390706806282724,0.0400574712643679,421,313,349,347,382,435
1,4,0007,20.5220772007776,13.8294918078312,15.2457650652597,15.1069147459039,16.1344071091364,19.1613440710914,0.0532420749279539,0.0441489361702129,0.0454470198675498,0.0433121019108282,0.0437500000000002,0.0440051020408164,347,282,302,314,332,392
1,5,0008,14.551513468481,12.9963898916968,16.828658705915,17.0230491530131,16.8841988336573,21.7161899472369,0.0404320987654323,0.0387417218543048,0.0412806539509539,0.0472993827160496,0.043059490084986,0.0474514563106797,324,302,367,324,353,412
1,6,0009,15.2179950013885,12.6353790613718,17.3007497917245,17.0785892807553,16.439877811719,21.3274090530408,0.04294670846395,0.0382996632996634,0.042208672086721,0.0439285714285716,0.044848484848485,0.0502617801047121,319,297,369,350,330,382
1,7,0010,18.5781727297973,10.969175229103,18.0783115801166,16.7453485143016,16.5231880033324,19.1058039433491,0.0500748502994013,0.0414915966386556,0.0475877192982457,0.0444690265486728,0.0450757575757577,0.0500000000000002,334,238,342,339,330,344
1,8,0011,17.4951402388226,12.6353790613718,15.5234657039711,17.1341294084976,16.1344071091364,21.0774784782005,0.0433884297520663,0.0397727272727274,0.039814814814815,0.0447101449275364,0.0412642045454547,0.0486538461538462,363,286,351,345,352,390
1,9,0012,16.9952790891419,13.6628714246043,15.3568453207442,17.578450430436,18.2171618994724,18.1893918356012,0.0437142857142859,0.0401960784313727,0.0425384615384617,0.0478096676737162,0.0438502673796793,0.0452348066298344,350,306,325,331,374,362
1,10,0013,19.4945848375451,12.9686198278256,14.2182727020272,17.3285198555957,16.8841988336573,19.1058039433491,0.048082191780822,0.0437265917602998,0.0429530201342283,0.0462908011869438,0.0441860465116281,0.047382920110193,365,267,298,337,344,363
2,1,0004,16.4954179394613,14.5237434046098,15.6067758955846,15.7178561510691,17.5229103026937,20.1332963065815,0.0381748071979437,0.0377890173410406,0.0407246376811596,0.0444968553459121,0.0398358585858588,0.0470779220779221,389,346,345,318,396,385
2,2,0005,19.2446542627048,13.1074701471813,18.2171618994724,18.3004720910858,13.607331296862,17.5229103026937,0.0520270270270272,0.0425992779783395,0.0473988439306359,0.048742603550296,0.0435943060498222,0.0440642458100561,333,277,346,338,281,358
