group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7
3,42,12025864,15.2179950013885,13.4684809775062,13.4962510413774,15.7456262149403,12.3299083587892,15.1069147459039,14.6348236600944,0.0350383631713555,0.0321618037135278,0.0306818181818181,0.0323630136986301,0.0321739130434782,0.0322274881516587,0.0352272727272727,391,377,396,438,345,422,374
3,43,12025886,14.9958344904193,16.634268258817,11.2191058039433,14.1349625104138,13.1352402110525,13.6351013607331,16.2454873646209,0.0321428571428571,0.0349883177570093,0.0306990881458966,0.030515587529976,0.0319594594594594,0.0298661800486618,0.0324999999999999,420,428,329,417,370,411,450
3,44,12026012,14.4682032768675,15.2179950013885,12.857539572341,12.5242988058873,13.1630102749236,15.5234657039711,16.2454873646209,0.0319240196078431,0.0330917874396135,0.031199460916442,0.031146408839779,0.0314323607427055,0.0357416879795396,0.0343309859154929,408,414,371,362,377,391,426
3,45,12026102,16.7731185781727,14.7736739794502,13.80172174396,13.9405720633157,11.6356567620106,14.7181338517079,14.3571230213829,0.0327548806941431,0.0317422434367541,0.0311403508771929,0.0311414392059553,0.0298433048433048,0.0323960880195599,0.030627962085308,461,419,399,403,351,409,422
3,46,12026168,12.9408497639545,17.0508192168842,12.663149125243,15.3013051930019,13.5517911691197,14.3015828936407,14.1905026381561,0.0311497326203208,0.0321802935010482,0.0297650130548302,0.0316666666666666,0.0313624678663239,0.0310240963855421,0.031857855361596,374,477,383,435,389,415,401
3,47,12026203,16.2732574284921,14.4126631491252,13.3851707858928,13.1907803387948,12.4409886142738,14.8292141071924,15.4679255762288,0.0321271929824561,0.032037037037037,0.030352644836272,0.0304487179487179,0.0297872340425531,0.0330445544554455,0.0317198177676537,456,405,397,390,376,404,439
3,48,12026359,12.663149125243,16.3565676201055,13.2740905304082,14.5792835323521,12.2188281033046,15.0791446820328,15.8011663426826,0.0319327731092437,0.0346470588235294,0.0305626598465473,0.0313245823389021,0.0329341317365269,0.0320165094339622,0.0345266990291262,357,425,391,419,334,424,412
3,49,12026371,14.5792835323521,14.0238822549292,15.0236045542905,15.7456262149403,12.0799777839489,15.4123854484865,13.1352402110525,0.0331439393939394,0.0313275434243176,0.0315268065268065,0.0301595744680851,0.0297945205479452,0.0312499999999999,0.0309554973821989,396,403,429,470,365,444,382
3,50,12026652,14.1071924465426,13.0797000833102,14.3015828936407,14.940294362677,11.3301860594279,15.8567064704249,16.3843376839767,0.0310513447432762,0.0296599496221662,0.0306547619047619,0.0299554565701558,0.0306306306306306,0.0307650862068965,0.0307291666666666,409,397,420,449,333,464,480
3,51,12026663,16.7731185781727,16.439877811719,11.5801166342683,13.4407109136351,12.0799777839489,12.9130797000833,16.7731185781727,0.0327548806941431,0.0332584269662921,0.0299568965517241,0.0308673469387755,0.0297945205479452,0.0313342318059299,0.0338565022421524,461,445,348,392,365,371,446
3,52,12026674,17.7450708136629,14.8292141071924,12.1632879755623,15.5234657039711,13.051930019439,10.6359344626493,16.0510969175229,0.035032894736842,0.0320913461538461,0.0292780748663101,0.0310555555555555,0.0295226130653266,0.0301100628930817,0.0329908675799086,456,416,374,450,398,318,438
3,53,12026810,15.0791446820328,15.6345459594557,11.524576506526,13.3574007220217,12.0522077200778,16.4954179394613,15.8567064704249,0.0335185185185185,0.0339975845410628,0.0301598837209302,0.0318965517241379,0.031,0.0361313868613138,0.0355099502487562,405,414,344,377,350,411,402
3,54,12026876,14.3848930852541,12.3854484865315,15.7456262149403,14.2182727020272,11.0247153568453,15.7733962788114,16.4676478755901,0.0308333333333333,0.0299731182795698,0.0317114093959731,0.0304038004750593,0.0281960227272727,0.030277185501066,0.0318817204301075,420,372,447,421,352,469,465
3,55,12026898,14.551513468481,14.0516523188003,15.884476534296,17.2729797278534,12.4409886142738,13.5795612329908,12.2188281033046,0.0316425120772946,0.0329427083333333,0.0317777777777777,0.0315415821501014,0.0306010928961748,0.0301851851851851,0.0287958115183246,414,384,450,493,366,405,382
3,56,12027035,13.5517911691197,14.3293529575118,14.8292141071924,15.4401555123577,9.19189114134963,15.3846153846154,17.2729797278534,0.0326203208556149,0.0320895522388059,0.0311915887850467,0.0313769751693002,0.0287326388888889,0.0334541062801932,0.0344789356984478,374,402,428,443,288,414,451
3,57,12027282,13.7184115523466,16.0510969175229,11.8022771452374,15.4123854484865,13.607331296862,13.1907803387948,16.2177173007498,0.0311083123425692,0.0335266821345707,0.03125,0.0312499999999999,0.0316537467700258,0.0310052219321148,0.0319474835886214,397,431,340,444,387,383,457
3,58,12027417,13.051930019439,17.0508192168842,13.3296306581505,15.5512357678423,12.3576784226604,15.1624548736462,13.4962510413774,0.0318428184281842,0.0328693790149892,0.0302267002518891,0.0315315315315315,0.0299865229110512,0.0313073394495412,0.0318897637795275,369,467,397,444,371,436,381
3,59,12027428,16.4954179394613,14.7181338517079,11.9966675923355,13.2740905304082,12.8853096362122,14.5237434046098,16.1066370452652,0.0335972850678733,0.0326354679802955,0.0313043478260869,0.031038961038961,0.0319559228650137,0.0326059850374064,0.0330296127562642,442,406,345,385,363,401,439
3,60,12027440,15.2179950013885,13.6628714246043,13.6351013607331,15.4956956401,13.2463204665371,14.2182727020272,14.5237434046098,0.0351282051282051,0.0331536388140161,0.0321335078534031,0.0323665893271461,0.031970509383378,0.0326530612244898,0.0322044334975369,390,371,382,431,373,392,406
3,61,12027451,14.3015828936407,19.8833657317412,11.8022771452374,14.1627325742849,14.1349625104138,11.9966675923355,13.7184115523466,0.0307279236276849,0.033086876155268,0.0287162162162162,0.0303571428571428,0.0296620046620046,0.0305084745762711,0.0294749403341288,419,541,370,420,429,354,419
3,62,12027866,14.2460427658984,15.3846153846154,13.3018605942794,15.6623160233269,13.9405720633157,14.1905026381561,13.2740905304082,0.0305357142857142,0.0299783549783549,0.0305484693877551,0.0308533916849015,0.0309876543209876,0.0307831325301204,0.030484693877551,420,462,392,457,405,415,392
