group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Duration_1,Duration_2,Duration_3,Duration_4,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4
2,1,00010002,22.5739275301958,26.6972094960433,21.2827988338192,29.4460641399417,0.047543859649123,0.0574372759856632,0.044357638888889,0.0557570977917982,285,279,288,317
2,2,00010003,18.6588921282799,32.1116201582674,22.4906289046231,26.7388588088297,0.052093023255814,0.0845394736842106,0.0706806282722514,0.0639442231075699,215,228,191,251
2,3,00010004,25.9475218658892,27.3219491878384,17.9508538109121,28.7796751353603,0.062550200803213,0.0680497925311204,0.0520531400966185,0.062590579710145,249,241,207,276
2,4,00010005,18.4089962515618,30.9037900874636,21.1578508954602,29.5293627655144,0.0476293103448277,0.0697368421052633,0.0535864978902955,0.0615451388888889,232,266,237,288
2,5,00010006,22.0741357767597,29.2794668887963,18.7005414410662,29.9458558933778,0.0483576642335768,0.0593750000000002,0.0463842975206613,0.0644265232974911,274,296,242,279
2,6,00010007,21.740941274469,29.4460641399417,21.5743440233236,27.2386505622657,0.0513779527559056,0.0677203065134099,0.0496168582375481,0.0522364217252398,254,261,261,313
2,7,00010010,21.7825905872553,30.7788421491045,20.1166180758017,27.3219491878384,0.0608139534883722,0.0713320463320464,0.0561627906976745,0.0650793650793652,215,259,215,252
2,8,00010012,21.8242399000417,29.1545189504373,18.7005414410662,30.3206997084548,0.0515748031496064,0.0605536332179932,0.0510227272727274,0.0587096774193548,254,289,220,310
2,9,00010016,21.5743440233236,27.8217409412745,22.3240316534777,28.2798833819242,0.0462500000000001,0.0536977491961416,0.0476868327402137,0.0511295180722893,280,311,281,332
2,10,00010017,17.5760099958351,34.0691378592253,23.3652644731362,24.9895876718034,0.0470982142857144,0.0730357142857143,0.0596808510638299,0.0500000000000002,224,280,235,300
2,11,00010019,18.8671386922116,31.2369845897543,20.8246563931695,29.0712203248646,0.0432251908396948,0.0631313131313131,0.047348484848485,0.0527190332326285,262,297,264,331
2,12,00010020,23.0320699708455,30.0291545189504,20.1582673885881,26.780508121616,0.0540039062500002,0.0662683823529413,0.0528384279475984,0.0613549618320612,256,272,229,262
2,13,00010021,24.448146605581,29.362765514369,17.9092044981258,28.2798833819242,0.0611458333333334,0.0670152091254754,0.0502336448598132,0.0635767790262173,240,263,214,267
2,14,00010022,19.0753852561433,30.6122448979592,23.5735110370679,26.7388588088297,0.0463562753036438,0.0598534201954398,0.0548449612403102,0.0538590604026847,247,307,258,298
2,15,00010023,24.1149521032903,25.2811328613078,20.9912536443149,29.612661391087,0.0590816326530613,0.0566231343283583,0.0533898305084747,0.0612931034482759,245,268,236,290
