group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Duration_1,Duration_2,Duration_3,Duration_4,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4
2,1,00010002,22.6155768429821,25.2394835485214,26.0724698042482,26.0724698042482,0.0499080882352943,0.0520618556701033,0.0606589147286823,0.0516501650165018,272,291,258,303
2,2,00010003,19.5751770095793,24.9062890462307,32.3615160349854,23.1570179092045,0.0608808290155441,0.0664444444444446,0.0875000000000001,0.0579166666666668,193,225,222,240
2,3,00010004,22.3656809662641,24.698042482299,30.7371928363182,22.1990837151187,0.0573717948717949,0.0557330827067671,0.0798701298701299,0.0522549019607844,234,266,231,255
2,4,00010005,22.7405247813411,24.6147438567264,30.4872969596002,22.1574344023324,0.0588362068965518,0.056609195402299,0.0680297397769517,0.0529880478087651,232,261,269,251
2,5,00010006,23.1153685964182,24.198250728863,27.1137026239067,25.5726780508122,0.0555000000000001,0.0509649122807019,0.0557363013698631,0.0556159420289857,250,285,292,276
2,6,00010007,24.9062890462307,21.5743440233236,28.6547271970013,24.8646397334444,0.0579457364341086,0.0511857707509883,0.0738197424892704,0.0507653061224491,258,253,233,294
2,7,00010010,23.4902124114952,23.4902124114952,29.4460641399417,23.5735110370679,0.056175298804781,0.0568548387096776,0.0810779816513762,0.0607296137339057,251,248,218,233
2,8,00010012,20.4081632653061,25.6143273635985,30.0291545189504,23.9483548521449,0.049595141700405,0.0586832061068704,0.0657846715328468,0.0550766283524906,247,262,274,261
2,9,00010016,24.1149521032903,25.7809246147439,27.030403998334,23.0737192836318,0.0544172932330829,0.0510726072607262,0.0579464285714287,0.0471088435374151,266,303,280,294
2,10,00010017,25.0312369845898,23.0320699708455,30.9870887130362,20.9496043315285,0.0618312757201648,0.0531730769230771,0.07265625,0.0483653846153847,243,260,256,260
2,11,00010019,23.3236151603499,22.6155768429821,29.0295710120783,25.0312369845898,0.0514705882352943,0.0495437956204381,0.0602941176470589,0.0550366300366302,272,274,289,273
2,12,00010020,21.1995002082466,24.3648479800083,30.3623490212412,24.073302790504,0.0513104838709679,0.0599385245901641,0.0714705882352941,0.0541198501872661,248,244,255,267
2,13,00010021,19.8250728862974,28.2798833819242,29.9875052061641,21.9075385256143,0.0524229074889869,0.0624080882352942,0.0676691729323309,0.0545643153526972,227,272,266,241
2,14,00010022,24.2399000416493,23.5318617242815,30.5289462723865,21.6992919616826,0.0532967032967034,0.054748062015504,0.0621186440677967,0.0477106227106228,273,258,295,273
2,15,00010023,20.8663057059559,26.7388588088297,29.2794668887963,23.1153685964182,0.0485465116279071,0.0581521739130436,0.0705823293172691,0.057572614107884,258,276,249,241
2,16,00010024,22.5322782174094,25.6143273635985,29.23781757601,22.6155768429821,0.059845132743363,0.0643305439330545,0.0719262295081968,0.0587662337662339,226,239,244,231
2,17,00010026,29.0712203248646,24.9895876718034,26.9471053727613,18.9920866305706,0.0678988326848249,0.0597609561752989,0.0691239316239317,0.0527777777777779,257,251,234,216
2,18,00010027,31.9866722199084,19.2419825072886,28.6963765097876,20.0749687630154,0.0901408450704225,0.0571782178217823,0.0824162679425838,0.0630890052356022,213,202,209,191
2,19,00010028,24.3648479800083,24.5314452311537,32.9029571012078,18.2007496876302,0.0617088607594938,0.0629273504273506,0.0816115702479338,0.0487723214285716,237,234,242,224
2,20,00010029,27.1137026239067,23.7817576009996,27.4885464389838,21.61599333611,0.0675311203319503,0.0577935222672066,0.0705128205128206,0.0566593886462883,241,247,234,229
2,21,00010030,21.6992919616826,26.6972094960433,28.5297792586422,23.0737192836318,0.0525201612903227,0.0595724907063198,0.0679563492063492,0.0543137254901962,248,269,252,255
