group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6
2,1,12000058,16.0510969175229,16.6064981949458,17.6617606220494,16.1344071091364,14.1071924465426,19.4390447098028,0.0316192560175054,0.0311458333333333,0.034341252699784,0.0307082452431289,0.0294663573085846,0.032051282051282,457,480,463,473,431,546
2,2,12000070,13.9405720633157,18.0505415162455,17.7173007497917,16.7731185781727,15.6623160233269,17.8561510691475,0.0300959232613908,0.0325,0.0326175869120654,0.0306910569105691,0.0316143497757847,0.0320219123505976,417,500,489,492,446,502
2,3,12000104,14.6903637878367,17.0785892807553,17.8561510691475,16.9397389613996,15.5512357678423,17.8839211330186,0.0330625,0.0334967320261437,0.0334895833333333,0.0336644591611478,0.0327102803738317,0.0352297592997811,400,459,480,453,428,457
2,4,12000126,17.9394612607609,15.8011663426826,19.3279644543182,16.3287975562344,15.1624548736462,15.4401555123577,0.0350325379609544,0.032183257918552,0.0348697394789579,0.0303092783505154,0.0310933940774487,0.0308888888888888,461,442,499,485,439,450
2,5,12000182,15.9122465981672,15.4401555123577,17.4951402388226,17.1618994723688,15.2457650652597,18.7447931130242,0.0320469798657718,0.030820399113082,0.0324742268041237,0.0315950920245398,0.0311224489795918,0.0342987804878048,447,451,485,489,441,492
2,6,12000216,17.1341294084976,17.9950013885032,16.3010274923632,16.3287975562344,15.0236045542905,17.2174396001111,0.0312246963562752,0.0336798336798336,0.0321820175438596,0.0315450643776823,0.0318985849056603,0.0334773218142548,494,481,456,466,424,463
2,7,12000238,14.1349625104138,18.1616217717301,16.1899472368786,19.3001943904471,14.0794223826715,18.1338517078589,0.0314975247524752,0.0325049701789264,0.0325334821428571,0.0324766355140187,0.03121921182266,0.0363585746102449,404,503,448,535,406,449
2,8,12000294,17.8839211330186,18.5504026659261,15.9400166620383,15.7456262149403,15.5512357678423,16.3287975562344,0.0385167464114832,0.0315689981096408,0.0341666666666666,0.0325862068965517,0.0338164251207729,0.034106728538283,418,529,420,435,414,431
2,9,12000339,13.1907803387948,15.884476534296,19.2446542627048,16.5787281310747,17.3562899194668,17.7173007497917,0.0321815718157181,0.0319196428571428,0.0341043307086614,0.0331666666666666,0.0335300429184549,0.0343010752688172,369,448,508,450,466,465
2,10,12000362,15.0513746181616,12.857539572341,20.1610663704527,17.6062204943071,14.940294362677,19.3835045820605,0.0337064676616915,0.0297557840616966,0.0365927419354838,0.0325462012320328,0.033046683046683,0.0375268817204301,402,389,496,487,407,465
2,11,12000373,16.5231880033324,15.4401555123577,18.1616217717301,16.439877811719,13.7739516800889,19.661205220772,0.0350825471698113,0.0333333333333333,0.0357768052516411,0.032034632034632,0.0323759791122715,0.0364948453608247,424,417,457,462,383,485
2,12,12000384,15.4401555123577,18.2727020272147,17.2452096639822,16.8841988336573,15.884476534296,16.2732574284921,0.0321759259259259,0.0337782340862422,0.0326842105263157,0.0319999999999999,0.0324263038548752,0.0340697674418604,432,487,475,475,441,430
2,13,12000463,11.8855873368509,16.0233268536518,19.7722854762566,17.4396001110803,17.0785892807553,17.8006109414052,0.0302259887005649,0.0326357466063348,0.0346978557504873,0.0314629258517034,0.0331357758620689,0.0360112359550561,354,442,513,499,464,445
2,14,12000485,16.6898083865593,14.5237434046098,19.6889752846432,16.1899472368786,16.1899472368786,16.7175784504304,0.0341477272727272,0.0306206088992974,0.0366219008264463,0.0309447983014861,0.0310767590618336,0.0323655913978494,440,427,484,471,469,465
2,15,12000519,15.3568453207442,16.1621771730075,18.1060816439878,16.9397389613996,16.2732574284921,17.1618994723688,0.0322261072261072,0.0309574468085106,0.0341004184100418,0.0315734989648033,0.0324833702882483,0.0324579831932773,429,470,478,483,451,476
2,16,12000520,16.2177173007498,17.5229103026937,19.3835045820605,14.1071924465426,17.5506803665648,15.2179950013885,0.0309978768577494,0.031997971602434,0.0345544554455445,0.03175,0.0329166666666666,0.0315668202764976,471,493,505,400,480,434
2,17,12000542,19.0224937517356,17.0230491530131,18.3004720910858,13.8850319355735,17.9116911968898,13.8572618717023,0.0356029106029106,0.0315979381443298,0.0336224489795918,0.0316455696202531,0.0363995485327313,0.0310323383084577,481,485,490,395,443,402
2,18,12000575,16.634268258817,17.2174396001111,18.328242154957,18.8558733685087,13.412940849764,15.5234657039711,0.0331305309734513,0.0306324110671936,0.0331325301204819,0.0314935064935064,0.0302631578947368,0.0314044943820224,452,506,498,539,399,445
2,19,12000586,15.0236045542905,17.6062204943071,16.7175784504304,18.8836434323799,14.8569841710636,16.9119688975285,0.0327481840193704,0.0324130879345603,0.0329321663019693,0.033203125,0.0317695961995249,0.0333150984682713,413,489,457,512,421,457
2,20,12000597,14.745903915579,15.2457650652597,17.967231324632,17.1063593446265,15.5234657039711,19.4112746459317,0.0322208737864077,0.0314073226544622,0.0351630434782608,0.0309236947791164,0.0334330143540669,0.0350903614457831,412,437,460,498,418,498
2,21,12000610,15.1902249375174,15.7456262149403,18.1338517078589,16.828658705915,16.4121077478478,17.6895306859206,0.0309389140271493,0.0317114093959731,0.031760700389105,0.0309183673469387,0.0321195652173913,0.0325664621676891,442,447,514,490,460,489
2,22,12000621,14.6070535962233,15.6345459594557,18.8836434323799,17.2452096639822,16.828658705915,16.8008886420439,0.0317632850241545,0.0325810185185185,0.0343434343434343,0.0323437499999999,0.0341986455981941,0.0360978520286396,414,432,495,480,443,419
2,23,12000643,15.0513746181616,16.6898083865593,16.7453485143016,17.1341294084976,16.828658705915,17.5506803665648,0.0307256235827664,0.031043388429752,0.0324193548387096,0.0315439672801636,0.0314968814968815,0.0327800829875518,441,484,465,489,481,482
