group,subject,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5
1,1,16.9397389613996,20.8553179672313,20.3276867536795,21.1607886698139,20.7164676478756,0.0444606413994169,0.0467039800995025,0.0469230769230769,0.0440972222222222,0.0475765306122449,343,402,390,432,392
1,2,19.8278256039989,19.3279644543182,19.7722854762566,21.6051096917523,19.466814773674,0.0479838709677419,0.0474114441416893,0.0456410256410256,0.0447126436781609,0.0447066326530612,372,367,390,435,392
1,3,19.8833657317412,21.0219383504582,18.8281033046376,23.826714801444,16.439877811719,0.0517341040462427,0.0522790055248619,0.0495614035087719,0.0557142857142857,0.0439169139465875,346,362,342,385,337
1,4,18.6337128575396,24.0211052485421,19.1613440710914,23.8822549291863,14.3015828936407,0.0421482412060301,0.0466056034482759,0.0409738717339667,0.0440573770491803,0.0356648199445983,398,464,421,488,361
1,5,16.7453485143016,20.4387670091641,19.9666759233546,22.9936128853096,19.85559566787,0.0465277777777777,0.05,0.053180473372781,0.0498795180722891,0.0446875,324,368,338,415,400
1,6,19.1613440710914,21.7995001388503,20.4387670091641,19.0780338794779,19.5223549014163,0.0479166666666666,0.0462853773584906,0.0454320987654321,0.0471840659340659,0.0446065989847715,360,424,405,364,394
1,7,16.2454873646209,20.1055262427104,20.4943071369064,22.8269925020828,20.3276867536795,0.0426384839650145,0.0442542787286063,0.0467088607594937,0.0509925558312655,0.0489304812834224,343,409,395,403,374
1,8,18.8281033046376,21.0497084143294,19.5223549014163,21.5773396278811,19.0224937517356,0.0448412698412698,0.0502652519893899,0.0448341836734694,0.0507180156657963,0.0456666666666666,378,377,392,383,375
1,9,18.3837822826993,22.6048319911136,20.1332963065815,20.7442377117467,18.1338517078589,0.0454670329670329,0.0495133819951338,0.0455402010050251,0.0459975369458128,0.0447260273972602,364,411,398,406,365
1,10,20.5776173285199,20.4387670091641,20.1055262427104,20.7720077756179,18.1060816439878,0.0513157894736842,0.0497297297297297,0.0485254691689008,0.0473417721518987,0.0439353099730458,361,370,373,395,371
1,11,19.4390447098028,19.7722854762566,19.8833657317412,20.2166064981949,20.6886975840044,0.051622418879056,0.0477211796246649,0.0471052631578947,0.0477690288713911,0.0464463840399002,339,373,380,381,401
1,12,20.799777839489,20.1332963065815,18.8558733685087,23.5212440988614,16.6898083865593,0.0513013698630137,0.0480769230769231,0.0527173913043478,0.0569220430107527,0.0436773255813953,365,377,322,372,344
1,13,18.522632602055,20.8830880311025,21.4662593723966,22.6603721188559,16.4676478755901,0.0394208037825059,0.0424379232505643,0.0426600441501104,0.0454342984409799,0.0385064935064935,423,443,453,449,385
1,14,19.3001943904471,19.6889752846432,19.9389058594835,20.3832268814218,20.6886975840044,0.0464572192513369,0.0480352303523035,0.0455583756345177,0.0449754901960784,0.0462158808933002,374,369,394,408,403
1,15,16.2177173007498,20.9386281588448,20.8830880311025,21.8550402665926,20.1055262427104,0.0414772727272727,0.0466584158415841,0.05,0.0490648379052369,0.0477572559366754,352,404,376,401,379
1,16,16.5231880033324,22.3549014162733,22.0216606498195,22.5770619272424,16.5231880033324,0.0436217008797653,0.0495689655172414,0.0474282296650718,0.0510678391959799,0.0398793565683646,341,406,418,398,373
1,17,15.4401555123577,21.9105803943349,21.2163287975562,21.2996389891697,20.1332963065815,0.0389355742296918,0.0436393805309734,0.0439080459770115,0.0437785388127854,0.0421511627906977,357,452,435,438,430
1,18,19.7167453485143,21.2996389891697,19.5223549014163,22.2438211607887,17.2174396001111,0.0487637362637362,0.0482997481108312,0.0438279301745636,0.0477923627684964,0.0411140583554376,364,397,401,419,377
1,19,19.3279644543182,21.2996389891697,19.5223549014163,19.9111357956123,19.9389058594835,0.0443877551020408,0.0479375,0.0472446236559139,0.045494923857868,0.0436739659367396,392,400,372,394,411
1,20,19.2446542627048,20.7720077756179,20.0499861149681,20.4665370730353,19.466814773674,0.0528201219512195,0.0461728395061728,0.0453517587939698,0.0488726790450928,0.0456380208333333,328,405,398,377,384
1,21,16.9952790891419,20.5220772007776,19.6056650930297,22.7714523743405,20.1055262427104,0.0459459459459459,0.0535507246376811,0.0478319783197832,0.0504926108374384,0.0514204545454545,333,345,369,406,352
1,22,18.4948625381838,21.6606498194946,21.4107192446543,19.4945848375451,18.9391835601222,0.0403147699757869,0.0445205479452055,0.0468978102189781,0.0452319587628866,0.0400234741784037,413,438,411,388,426
2,1,18.911413496251,21.4662593723966,18.4115523465704,22.9936128853096,18.2171618994724,0.0428841309823677,0.0438208616780045,0.0426092544987146,0.0466216216216216,0.0417302798982188,397,441,389,444,393
2,2,20.1055262427104,20.1610663704527,17.9116911968898,22.8269925020828,18.9947236878645,0.0507002801120448,0.0485294117647059,0.0449164345403899,0.0503676470588235,0.0475,357,374,359,408,360
2,3,20.5220772007776,20.7442377117467,15.1346848097751,22.5492918633713,21.0497084143294,0.0464195979899497,0.046571072319202,0.0404302670623145,0.0465596330275229,0.0503989361702128,398,401,337,436,376
2,4,20.5776173285199,19.7167453485143,20.3832268814218,17.1341294084976,22.1882810330464,0.0459677419354838,0.0412790697674418,0.0428738317757009,0.0408068783068783,0.0439010989010989,403,430,428,378,455
2,5,21.1885587336851,20.9663982227159,19.9944459872258,18.5781727297973,19.272424326576,0.0433522727272727,0.0432912844036697,0.0431654676258993,0.0416044776119403,0.0403488372093023,440,436,417,402,430
2,6,17.4951402388226,23.5212440988614,19.6889752846432,22.1882810330464,17.1063593446265,0.0380434782608695,0.041357421875,0.0394766146993318,0.0406822810590631,0.0371980676328502,414,512,449,491,414
2,7,18.2727020272147,21.9661205220772,19.1613440710914,21.9105803943349,18.6892529852819,0.0515673981191222,0.0523148148148148,0.050438596491228,0.0550977653631285,0.049485294117647,319,378,342,358,340
2,8,18.522632602055,21.54956956401,20.1332963065815,19.272424326576,20.5220772007776,0.0400841346153846,0.0464114832535885,0.0408220720720721,0.0404428904428904,0.0429651162790697,416,418,444,429,430
2,9,20.2166064981949,19.3001943904471,20.2999166898084,17.7450708136629,22.4382116078867,0.043127962085308,0.0433291770573566,0.046501272264631,0.0400375939849624,0.0516624040920716,422,401,393,399,391
2,10,20.6886975840044,19.1058039433491,20.5776173285199,20.2999166898084,19.3279644543182,0.0472715736040609,0.0439897698209718,0.0448547215496368,0.0441425120772947,0.0423357664233576,394,391,413,414,411
2,11,17.2452096639822,20.1610663704527,19.7722854762566,21.1052485420716,21.7161899472369,0.040220207253886,0.0425058548009368,0.0408256880733945,0.0428893905191873,0.0411578947368421,386,427,436,443,475
2,12,22.1327409053041,22.5770619272424,17.8839211330186,21.8550402665926,15.5512357678423,0.0510897435897436,0.0500615763546798,0.0453521126760563,0.0500636132315522,0.0406976744186046,390,406,355,393,344
2,13,23.5767842266037,18.6892529852819,18.8836434323799,17.384059983338,21.4662593723966,0.0540076335877863,0.0453504043126684,0.0443864229765013,0.0431129476584022,0.0525135869565217,393,371,383,363,368
2,14,19.4390447098028,23.1602332685365,16.9119688975285,23.6878644820883,16.8008886420439,0.0462962962962963,0.0516089108910891,0.0408176943699732,0.0493634259259259,0.0408783783783783,378,404,373,432,370
2,15,24.1321855040267,20.605387392391,17.6339905581783,18.6059427936684,19.0224937517356,0.0603472222222222,0.0518156424581005,0.0461482558139534,0.0453929539295393,0.0464092140921409,360,358,344,369,369
