group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Duration_1,Duration_2,Duration_3,Duration_4,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4
2,1,00010002,25.2394835485214,27.155351936693,26.530612244898,21.0745522698875,0.047049689440994,0.054882154882155,0.0518729641693813,0.0465073529411766,322,297,307,272
2,2,00010003,23.1570179092045,30.7371928363182,23.1986672219908,22.9071220324865,0.0560483870967743,0.0775210084033614,0.0585084033613446,0.0651658767772514,248,238,238,211
2,3,00010004,26.905456059975,27.6551436901291,26.1141191170346,19.283631820075,0.0602611940298509,0.065612648221344,0.0578413284132843,0.0509911894273129,268,253,271,227
2,4,00010005,22.6988754685548,26.8221574344023,28.9462723865056,21.5326947105373,0.050650557620818,0.0614503816793894,0.0611795774647888,0.0547669491525425,269,262,284,236
2,5,00010006,21.6576426488963,29.112869637651,28.3631820074969,20.8663057059559,0.0451388888888891,0.0588383838383839,0.05656146179402,0.0505040322580646,288,297,301,248
2,6,00010007,24.8229904206581,29.3211162015827,28.2798833819242,17.5760099958351,0.0505084745762713,0.0577049180327869,0.0535488958990538,0.0464757709251102,295,305,317,227
2,7,00010010,22.4073302790504,30.6122448979592,26.4889629321116,20.4914618908788,0.0551229508196722,0.0753073770491804,0.0565836298932386,0.0556561085972852,244,244,281,221
2,8,00010012,22.8238234069138,28.3215326947105,26.0724698042482,22.7821740941274,0.0539370078740158,0.0622710622710624,0.0558928571428573,0.0544820717131475,254,273,280,251
2,9,00010016,23.2819658475635,27.6967930029155,27.1137026239067,21.9075385256143,0.045669934640523,0.0506859756097562,0.0526699029126215,0.0485239852398526,306,328,309,271
2,10,00010017,22.4489795918367,31.0703873386089,26.0724698042482,20.4081632653061,0.0514312977099238,0.0621666666666667,0.0537800687285225,0.0480392156862747,262,300,291,255
2,11,00010019,22.0741357767597,32.5281132861308,24.9062890462307,20.4914618908788,0.046654929577465,0.0661864406779661,0.0483818770226539,0.0474903474903476,284,295,309,259
2,12,00010020,25.5310287380258,27.6967930029155,24.9895876718034,21.7825905872553,0.0539612676056339,0.0581293706293708,0.0528169014084508,0.0504826254826256,284,286,284,259
2,13,00010021,26.4473136193253,29.23781757601,25.5310287380258,18.7838400666389,0.0577272727272729,0.0657303370786518,0.0582699619771865,0.0483905579399143,275,267,263,233
2,14,00010022,23.6151603498542,26.8221574344023,25.6976259891712,23.8650562265723,0.0497368421052633,0.0545762711864408,0.0499190938511328,0.0546755725190842,285,295,309,262
2,15,00010023,25.1145356101624,26.7388588088297,26.6972094960433,21.4077467721783,0.0552197802197803,0.0636904761904763,0.0532392026578074,0.0518145161290324,273,252,301,248
2,16,00010024,22.5322782174094,27.0720533111204,26.8221574344023,23.5735110370679,0.0570675105485233,0.0627413127413128,0.0616858237547894,0.064908256880734,237,259,261,218
2,17,00010026,22.240733027905,27.7384423157018,30.6538942107455,19.3669304456476,0.0565677966101696,0.0711538461538462,0.0671532846715329,0.0611842105263159,236,234,274,190
2,18,00010027,21.3660974593919,30.6122448979592,33.2778009162849,14.743856726364,0.0545744680851065,0.0850694444444444,0.0825413223140496,0.0505714285714286,235,216,242,175
2,19,00010028,23.3236151603499,26.780508121616,27.4052478134111,22.4906289046231,0.0530303030303032,0.0658811475409837,0.0635135135135136,0.0594713656387666,264,244,259,227
2,20,00010029,19.783423573511,29.7792586422324,31.1536859641816,19.283631820075,0.0568181818181819,0.0735596707818931,0.073046875,0.0535879629629631,209,243,256,216
2,21,00010030,23.5318617242815,28.2382340691379,26.0308204914619,22.1990837151187,0.0539122137404581,0.060320284697509,0.0574448529411766,0.0550619834710745,262,281,272,242
2,22,00010031,24.0316534777176,28.9046230737193,25.7809246147439,21.2827988338192,0.049741379310345,0.0594178082191782,0.0497588424437301,0.0489463601532568,290,292,311,261
2,23,00010032,23.2403165347772,25.6976259891712,27.9466888796335,23.1153685964182,0.053861003861004,0.0552867383512546,0.0548202614379086,0.0546259842519686,259,279,306,254
2,24,00010033,25.4477301124531,27.030403998334,26.8221574344023,20.6997084548105,0.0601377952755907,0.0626447876447878,0.0633858267716536,0.0530982905982907,254,259,254,234
2,25,00010034,24.3648479800083,26.2390670553936,26.1141191170346,23.2819658475635,0.044724770642202,0.0465976331360948,0.0466517857142859,0.0467391304347828,327,338,336,299
2,26,00010035,22.4906289046231,29.487713452728,26.905456059975,21.1162015826739,0.0537848605577691,0.0623239436619719,0.0562717770034844,0.0532563025210085,251,284,287,238
2,27,00010036,22.4906289046231,26.8221574344023,28.7380258225739,21.9491878384007,0.045150501672241,0.0516025641025643,0.0535714285714287,0.0499053030303032,299,312,322,264
2,28,00010037,25.0312369845898,27.5718450645564,26.9471053727613,20.4498125780925,0.0534697508896798,0.0636538461538463,0.0654858299595143,0.0511458333333334,281,260,247,240
2,29,00010038,28.1965847563515,27.2802998750521,23.4902124114952,21.0329029571012,0.063152985074627,0.0705818965517242,0.0582644628099175,0.0612864077669904,268,232,242,206
2,30,00010039,23.5735110370679,27.2802998750521,26.6972094960433,22.4489795918367,0.0470099667774088,0.0496212121212123,0.0490061162079512,0.0482974910394267,301,330,327,279
2,31,00010040,24.9479383590171,29.112869637651,27.3635985006247,18.5755935027072,0.0596613545816734,0.0737341772151899,0.0662298387096775,0.0574742268041238,251,237,248,194
2,32,00010041,23.7401082882132,27.5301957517701,28.9046230737193,19.8250728862974,0.0500000000000002,0.0588078291814948,0.0576411960132891,0.0468503937007875,285,281,301,254
